Date,Open,High,Low,Close,DMA7,DMA15,DMA50,DMA100,DMA200
5-Dec-14,28604.5,28651.75,28409.05,28458.1,28504.04,28345.91,27316.63,26758.86,24893.32
8-Dec-14,28433,28494.85,28097.12,28119.4,28514.31,28373.34,27358.04,26783.82,24932.16
9-Dec-14,28134.22,28157.53,27763.82,27797.01,28468.66,28369.44,27394.57,26804.01,24969.08
10-Dec-14,27711.96,27905.25,27710.03,27831.1,28340.52,28345.03,27414.72,26826.16,25006.38
11-Dec-14,27796.34,27796.34,27539.47,27602.01,28236.45,28331.58,27428.85,26850.02,25042.39
12-Dec-14,27598.96,27692.32,27320.05,27350.68,28116.16,28300.54,27441.33,26872.32,25076.73
15-Dec-14,27136.28,27392.18,27105.04,27319.56,27960.16,28234.94,27457.86,26895.58,25112.19
16-Dec-14,27181.18,27199.37,26736.23,26781.44,27782.55,28156.28,27469.98,26918.71,25144.1
17-Dec-14,26724.01,26871.91,26469.42,26710.13,27543.03,28052.5,27487,26934.23,25175.17
18-Dec-14,27053.86,27180.92,26900.57,27126.57,27341.7,27940.77,27490.11,26945.84,25207.48
19-Dec-14,27292.55,27497.12,27292.14,27371.84,27245.93,27853.28,27492.37,26961.49,25240.55
22-Dec-14,27479.87,27725.27,27382.32,27701.79,27180.32,27765.13,27502.29,26978.8,25276.2
23-Dec-14,27733.12,27851.1,27475.13,27506.46,27194.57,27707.94,27518.37,26998.66,25310.06
24-Dec-14,27530.26,27571.25,27146.52,27208.61,27216.83,27645.44,27546.96,27013.47,25341.89
26-Dec-14,27215.19,27370.63,27091.38,27241.78,27200.98,27563.17,27572.16,27024.08,25373.68
29-Dec-14,27266.49,27507.25,27266.49,27395.73,27266.74,27475.1,27583.58,27033.78,25405.56
30-Dec-14,27478.3,27478.3,27312.29,27403.54,27364.68,27404.27,27602.47,27046.47,25436.82
31-Dec-14,27358.3,27527.24,27346,27499.42,27404.25,27356.55,27622.7,27060.59,25469.42
1-Jan-15,27485.77,27545.61,27395.34,27507.54,27422.48,27336.71,27643.79,27074.71,25500.75
2-Jan-15,27521.28,27937.47,27519.26,27887.9,27394.73,27315.14,27673.79,27090.84,25533.64
5-Jan-15,27978.43,28064.49,27786.85,27842.32,27449.22,27334.2,27701.77,27114.91,25565.13
6-Jan-15,27694.23,27698.93,26937.06,26987.46,27539.75,27366.98,27730.93,27136.1,25590.34
